item,sweep,seed,model_size,epochs,batch_size,lr,drop_rate,weight_decay,balanced,train_accuracy,val_accuracy,test_accuracy,train_loss,val_loss,test_loss,time_minutes
105,lr,1024,gpt2-medium (355M),5,8,0.0001,0.0,0.1,1,1.0,1.0,1.0,0.001729,0.008648,0.002863,0.348336
106,drop_rate,42,gpt2-medium (355M),5,8,5e-05,0.05,0.1,1,1.0,1.0,1.0,0.011716,0.025869,0.009026,0.36246
107,drop_rate,123,gpt2-medium (355M),5,8,5e-05,0.05,0.1,1,1.0,0.95,0.987013,0.009317,0.087031,0.02792,0.358201
108,drop_rate,456,gpt2-medium (355M),5,8,5e-05,0.05,0.1,1,1.0,1.0,1.0,0.018318,0.015285,0.014277,0.371586
109,drop_rate,789,gpt2-medium (355M),5,8,5e-05,0.05,0.1,1,1.0,0.95,0.987013,0.042817,0.057646,0.023832,0.362052
110,drop_rate,1024,gpt2-medium (355M),5,8,5e-05,0.05,0.1,1,1.0,1.0,1.0,0.037504,0.039066,0.024749,0.359332
111,drop_rate,42,gpt2-medium (355M),5,8,5e-05,0.1,0.1,1,1.0,1.0,1.0,0.031156,0.046809,0.015475,0.360223
112,drop_rate,123,gpt2-medium (355M),5,8,5e-05,0.1,0.1,1,1.0,1.0,1.0,0.027832,0.065212,0.032285,0.355194
113,drop_rate,456,gpt2-medium (355M),5,8,5e-05,0.1,0.1,1,1.0,1.0,1.0,0.035903,0.032273,0.026775,0.370735
114,drop_rate,789,gpt2-medium (355M),5,8,5e-05,0.1,0.1,1,1.0,0.95,0.987013,0.07457,0.108043,0.039047,0.362818
115,drop_rate,1024,gpt2-medium (355M),5,8,5e-05,0.1,0.1,1,1.0,1.0,0.991342,0.098246,0.108604,0.061714,0.354131
116,weight_decay,42,gpt2-medium (355M),5,8,5e-05,0.0,0.05,1,1.0,1.0,1.0,0.004527,0.01403,0.004378,0.347588
117,weight_decay,123,gpt2-medium (355M),5,8,5e-05,0.0,0.05,1,1.0,0.95,0.987013,0.005203,0.105149,0.029955,0.344669
118,weight_decay,456,gpt2-medium (355M),5,8,5e-05,0.0,0.05,1,1.0,1.0,1.0,0.008407,0.01056,0.006492,0.355153
119,weight_decay,789,gpt2-medium (355M),5,8,5e-05,0.0,0.05,1,1.0,1.0,1.0,0.012941,0.03246,0.009314,0.352021
120,weight_decay,1024,gpt2-medium (355M),5,8,5e-05,0.0,0.05,1,1.0,1.0,1.0,0.016022,0.022404,0.008928,0.347938
